date,ID,time_rel_sunrise,UST
2022-05-13,TbTbLg,-2811.6116,NA
2022-05-13,TbTbLg,-2811.6116,NA
2022-05-13,LbOW,-2766.036983,NA
2022-05-13,LbOW,-2766.036983,NA
2022-05-13,DgTbO,-2690,NA
2022-05-13,LbOW,-2690,NA
2022-05-13,RRO,-2690,NA
2022-05-13,TbTbLg,-2690,NA
2022-05-13,YKY,-2690,NA
2022-05-13,TbTbLg,-2365.2391,NA
2022-05-13,TbTbLg,-2162.6116,NA
2022-05-13,TbTbLg,-2161.382542,3
2022-05-13,TbTbLg,-2067.4947,3
2022-05-13,TbTbLg,-2046.5837,17
2022-05-13,TbTbLg,-1969.395033,9
2022-05-13,DgTbO,-1935.690524,25
2022-05-13,TbTbLg,-1920.4235,9
2022-05-13,DgTbO,-1909.821116,20
2022-05-13,TbTbLg,-1906.5827,3
2022-05-13,DgTbO,-1901.665626,1
2022-05-13,DgTbO,-1890.747989,153
2022-05-13,RRO,-1890.535866,5
2022-05-13,TbTbLg,-1890.4515,NA
2022-05-13,RRO,-1886.504882,NA
2022-05-13,DgTbO,-1880.963099,33
2022-05-13,RRO,-1879.440701,8
2022-05-13,DgTbO,-1871.335049,8
2022-05-13,RRO,-1869.161225,13
2022-05-13,DgTbO,-1863.035754,33
2022-05-13,RRO,-1860.946944,100
2022-05-13,DgTbO,-1854.549128,20
2022-05-13,RRO,-1852.698695,29
2022-05-13,TbTbLg,-1852.6307,NA
2022-05-13,DgTbO,-1848.340994,7
2022-05-13,DgTbO,-1842.433465,10
2022-05-13,RRO,-1842.140411,28
2022-05-13,TbTbLg,-1842.1263,NA
2022-05-13,DgTbO,-1834.879146,153
2022-05-13,RRO,-1828.449612,NA
2022-05-13,DgTbO,-1817.217551,33
2022-05-13,DgTbO,-1809.510752,33
2022-05-13,TbTbLg,-1803.8982,13
2022-05-13,DgTbO,-1803.603223,153
2022-05-13,TbTbLg,-1797.1573,13
2022-05-13,DgTbO,-1795.134014,153
2022-05-13,YKY,-1788.867951,16
2022-05-13,DgTbO,-1787.582496,1
2022-05-13,YKY,-1782.303017,5
2022-05-13,DgTbO,-1777.58569,33
2022-05-13,YKY,-1774.896355,13
2022-05-13,DgTbO,-1770.057497,20
2022-05-13,TbTbLg,-1766.932,NA
2022-05-13,YKY,-1766.730821,10
2022-05-13,DgTbO,-1761.54473,33
2022-05-13,YKY,-1759.462025,165
2022-05-13,DgTbO,-1755.131836,8
2022-05-13,YKY,-1753.106381,17
2022-05-13,DgTbO,-1749.032618,153
2022-05-13,TbTbLg,-1746.8679,NA
2022-05-13,YKY,-1743.777994,21
2022-05-13,DgTbO,-1739.63982,8
2022-05-13,YKY,-1733.883946,166
2022-05-13,DgTbO,-1731.649843,33
2022-05-13,YKY,-1728.446123,8
2022-05-13,DgTbO,-1724.940702,10
2022-05-13,YKY,-1721.715219,3
2022-05-13,YKY,-1716.189335,13
2022-05-13,DgTbO,-1715.870292,33
2022-05-13,TbTbLg,-1715.3536,NA
2022-05-13,DgTbO,-1709.893058,10
2022-05-13,YKY,-1709.46694,21
2022-05-13,DgTbO,-1702.504289,11
2022-05-13,YKY,-1702.357379,9
2022-05-13,DgTbO,-1695.995551,32
2022-05-13,YKY,-1695.728998,21
2022-05-13,YKY,-1690.336309,16
2022-05-13,DgTbO,-1689.887619,153
2022-05-13,YKY,-1685.377339,5
2022-05-13,DgTbO,-1683.527005,8
2022-05-13,YKY,-1678.722719,13
2022-05-13,DgTbO,-1677.209957,12
2022-05-13,DgTbO,-1671.363419,33
2022-05-13,YKY,-1669.439649,10
2022-05-13,DgTbO,-1664.941814,7
2022-05-13,YKY,-1663.833237,16
2022-05-13,DgTbO,-1660.184423,20
2022-05-13,YKY,-1657.883352,5
2022-05-13,DgTbO,-1655.061078,153
2022-05-13,YKY,-1649.499371,166
2022-05-13,DgTbO,-1648.038263,1
2022-05-13,YKY,-1643.901432,16
2022-05-13,DgTbO,-1642.801649,20
2022-05-13,YKY,-1637.137942,13
2022-05-13,DgTbO,-1636.519453,33
2022-05-13,DgTbO,-1631.34383,153
2022-05-13,YKY,-1630.712821,21
2022-05-13,YKY,-1624.820083,10
2022-05-13,DgTbO,-1624.312301,33
2022-05-13,YKY,-1619.057447,165
2022-05-13,DgTbO,-1618.526757,33
2022-05-13,YKY,-1614.735748,9
2022-05-13,DgTbO,-1612.340399,153
2022-05-13,YKY,-1609.873663,8
2022-05-13,DgTbO,-1605.491847,1
2022-05-13,YKY,-1603.752845,3
2022-05-13,DgTbO,-1598.129218,153
2022-05-13,YKY,-1596.312742,166
2022-05-13,DgTbO,-1591.568201,33
2022-05-13,TbTbLg,-1590.7877,NA
2022-05-13,YKY,-1588.468937,3
2022-05-13,DgTbO,-1585.582253,153
2022-05-13,YKY,-1582.637417,17
2022-05-13,DgTbO,-1577.557424,33
2022-05-13,YKY,-1576.512163,21
2022-05-13,RRO,-1575.293733,13
2022-05-13,TbTbLg,-1571.834511,13
2022-05-13,DgTbO,-1571.275228,1
2022-05-13,YKY,-1570.605752,16
2022-05-13,YKY,-1565.693683,165
2022-05-13,DgTbO,-1564.688061,153
2022-05-13,TbTbLg,-1563.740171,8
2022-05-13,YKY,-1561.658647,13
2022-05-13,DgTbO,-1557.795944,33
2022-05-13,TbTbLg,-1553.963284,5
2022-05-13,YKY,-1553.712003,21
2022-05-13,DgTbO,-1551.2175,20
2022-05-13,TbTbLg,-1549.703047,NA
2022-05-13,YKY,-1547.134757,20
2022-05-13,TbTbLg,-1545.991674,13
2022-05-13,DgTbO,-1545.588794,7
2022-05-13,DgTbO,-1539.245608,20
2022-05-13,YKY,-1539.054235,21
2022-05-13,TbTbLg,-1532.641718,21
2022-05-13,YKY,-1531.826948,16
2022-05-13,DgTbO,-1530.724127,10
2022-05-13,TbTbLg,-1525.494179,5
2022-05-13,YKY,-1525.016856,5
2022-05-13,DgTbO,-1522.559887,33
2022-05-13,YKY,-1520.381399,16
2022-05-13,TbTbLg,-1519.23672,16
2022-05-13,DgTbO,-1516.974745,10
2022-05-13,YKY,-1514.159154,21
2022-05-13,TbTbLg,-1512.765546,10
2022-05-13,DgTbO,-1510.256891,153
2022-05-13,YKY,-1508.133524,13
2022-05-13,TbTbLg,-1505.374442,13
2022-05-13,DgTbO,-1503.364774,15
2022-05-13,YKY,-1501.365369,165
