date,ID,time_rel_sunrise,UST,Phase,index
2022-05-13,LbOW,-1161.592741,10,DC,6085
2022-05-13,LbOW,-1148.784429,10,DC,6086
2022-05-13,LbOW,-1140.45029,3,DC,6087
2022-05-13,LbOW,-1130.58245,8,DC,6088
2022-05-13,LbOW,-1122.382114,9,DC,6089
2022-05-13,LbOW,-1108.297652,13,DC,6090
2022-05-13,LbOW,-1101.513532,29,DC,6091
2022-05-13,LbOW,-1094.395915,10,DC,6092
2022-05-13,LbOW,-1088.461525,5,DC,6093
2022-05-13,LbOW,-1082.097696,16,DC,6094
2022-05-13,LbOW,-1077.08612,13,DC,6095
2022-05-13,LbOW,-1069.768336,10,DC,6096
2022-05-13,LbOW,-1062.325965,21,DC,6097
2022-05-13,LbOW,-1055.249023,5,DC,6098
2022-05-13,LbOW,-1049.533913,8,DC,6099
2022-05-13,LbOW,-1041.397552,10,DC,6100
2022-05-13,LbOW,-1033.014474,13,DC,6101
2022-05-13,LbOW,-1025.663856,9,DC,6102
2022-05-13,LbOW,-1017.024932,3,DC,6103
2022-05-13,LbOW,-1007.536287,8,DC,6104
2022-05-13,LbOW,-997.2207587,29,DC,6105
2022-05-13,LbOW,-990.986757,10,DC,6106
2022-05-13,LbOW,-981.5464354,9,DC,6107
2022-05-13,LbOW,-974.0085103,3,DC,6108
2022-05-13,LbOW,-965.6482742,3,DC,6109
2022-05-13,LbOW,-957.1692453,8,DC,6110
2022-05-13,LbOW,-949.3083601,9,DC,6111
2022-05-13,LbOW,-940.7548487,8,DC,6112
2022-05-13,LbOW,-931.9469039,8,DC,6113
2022-05-13,LbOW,-922.2115558,9,DC,6114
2022-05-13,LbOW,-911.1148168,10,DC,6115
2022-05-13,LbOW,-900.7627333,13,DC,6116
2022-05-13,LbOW,-890.913184,13,DC,6117
2022-05-13,LbOW,-882.5986287,5,DC,6118
2022-05-13,LbOW,-873.489156,29,DC,6119
2022-05-13,LbOW,-864.7314612,10,DC,6120
2022-05-13,LbOW,-854.6808936,10,DC,6121
2022-05-13,LbOW,-846.3617715,10,DC,6122
2022-05-13,LbOW,-836.9279409,29,DC,6123
2022-05-13,LbOW,-828.2935889,21,DC,6124
2022-05-13,LbOW,-819.9516239,8,DC,6125
2022-05-13,LbOW,-811.5593971,5,DC,6126
2022-05-13,LbOW,-803.4778301,9,DC,6127
2022-05-13,LbOW,-793.7333492,5,DC,6128
2022-05-13,LbOW,-783.5704512,13,DC,6129
2022-05-13,LbOW,-776.4555139,29,DC,6130
2022-05-13,LbOW,-767.309502,9,DC,6131
2022-05-13,LbOW,-755.4176451,9,DC,6132
2022-05-13,LbOW,-746.1759039,9,DC,6133
2022-05-13,LbOW,-738.4049864,8,DC,6134
2022-05-13,LbOW,-685.6167302,8,DC,6135
2022-05-13,LbOW,-678.3940359,3,DC,6136
2022-05-13,LbOW,-670.3832662,9,DC,6137
2022-05-13,LbOW,-664.3621165,3,DC,6138
2022-05-13,LbOW,-655.8258607,3,DC,6139
2022-05-13,LbOW,-619.2581918,9,DC,6140
2022-05-13,LbOW,-609.4120562,13,DC,6141
2022-05-13,LbOW,-499.7155099,13,DC,6144
2022-05-13,LbOW,-473.6981947,8,DC,6145
2022-05-13,LbOW,-460.4666415,9,DC,6146
2022-05-13,LbOW,-452.4036641,3,DC,6147
2022-05-13,LbOW,-445.2516482,NA,DC,6148
2022-05-13,LbOW,-437.9833387,9,DC,6149
2022-05-13,LbOW,-430.4889038,29,DC,6150
2022-05-13,LbOW,-424.1315591,21,DC,6151
2022-05-13,LbOW,-415.8036934,10,DC,6152
2022-05-13,LbOW,-407.2820041,29,DC,6153
2022-05-13,LbOW,-399.9749619,13,DC,6154
2022-05-13,LbOW,-390.6973374,29,DC,6155
2022-05-13,LbOW,-376.2834738,21,DC,6156
2022-05-13,LbOW,-368.0674908,3,DC,6157
2022-05-13,LbOW,-353.6228384,9,DC,6158
2022-05-13,LbOW,-342.8621773,8,DC,6159
2022-05-13,LbOW,-330.6126504,3,DC,6160
2022-05-13,LbOW,-321.1347749,9,DC,6161
2022-05-13,LbOW,-229.6897598,20,DC,6163
2022-05-13,LbOW,-212.4202581,20,DC,6164
2022-05-13,LbOW,-163.6224511,20,DC,6165
2022-05-13,LbOW,-140.3121775,20,DC,6166
2022-05-13,LbOW,-106.5872245,20,DC,6167
2022-05-14,LbOW,-2276.862392,NA,DC,6174
2022-05-14,LbOW,-2173.027082,NA,DC,6175
2022-05-14,LbOW,-2149.625225,10,DC,6176
2022-05-14,LbOW,-2132.075788,10,DC,6177
2022-05-14,LbOW,-2121.061665,21,DC,6178
2022-05-14,LbOW,-2112.010362,8,DC,6179
2022-05-14,LbOW,-2099.930074,9,DC,6180
2022-05-14,LbOW,-2076.344935,13,DC,6181
2022-05-14,LbOW,-2063.171706,29,DC,6182
2022-05-14,LbOW,-2048.860922,29,DC,6183
2022-05-14,LbOW,-2038.618545,8,DC,6184
2022-05-14,LbOW,-2027.443837,9,DC,6185
2022-05-14,LbOW,-2019.26688,10,DC,6186
2022-05-14,LbOW,-2005.607383,120,DC,6187
2022-05-14,LbOW,-1998.83116,9,DC,6188
2022-05-14,LbOW,-1988.731521,120,DC,6189
2022-05-14,LbOW,-1977.77983,17,DC,6190
2022-05-14,LbOW,-1967.55974,13,DC,6191
2022-05-14,LbOW,-1955.077941,10,DC,6192
2022-05-14,LbOW,-1946.169382,9,DC,6193
2022-05-14,LbOW,-1938.866769,17,DC,6194
2022-05-14,LbOW,-1929.003562,21,DC,6195
2022-05-14,LbOW,-1917.793134,17,DC,6196
2022-05-14,LbOW,-1909.339588,29,DC,6197
2022-05-14,LbOW,-1903.143298,13,DC,6198
2022-05-14,LbOW,-1895.581953,10,DC,6199
2022-05-14,LbOW,-1890.170792,21,DC,6200
2022-05-14,LbOW,-1882.988626,9,DC,6201
2022-05-14,LbOW,-1876.564823,3,DC,6202
2022-05-14,LbOW,-1869.810911,8,DC,6203
2022-05-14,LbOW,-1862.713502,9,DC,6204
2022-05-14,LbOW,-1855.245833,3,DC,6205
2022-05-14,LbOW,-1849.250291,9,DC,6206
2022-05-14,LbOW,-1841.599724,10,DC,6207
2022-05-14,LbOW,-1836.844338,5,DC,6208
2022-05-14,LbOW,-1830.059208,13,DC,6209
2022-05-14,LbOW,-1819.674093,10,DC,6210
2022-05-14,LbOW,-1812.862201,29,DC,6211
2022-05-14,LbOW,-1807.446627,21,DC,6212
2022-05-14,LbOW,-1802.4637,10,DC,6213
2022-05-14,LbOW,-1796.628759,13,DC,6214
2022-05-14,LbOW,-1791.373779,21,DC,6215
2022-05-14,LbOW,-1785.859993,17,DC,6216
2022-05-14,LbOW,-1775.354432,8,DC,6217
2022-05-14,LbOW,-1770.019156,3,DC,6218
2022-05-14,LbOW,-1762.16783,10,DC,6219
2022-05-14,LbOW,-1756.966381,9,DC,6220
2022-05-14,LbOW,-1751.729175,8,DC,6221
2022-05-14,LbOW,-1742.089035,3,DC,6222
2022-05-14,LbOW,-1734.683837,5,DC,6223
2022-05-14,LbOW,-1726.779008,8,DC,6224
2022-05-14,LbOW,-1719.993885,9,DC,6225
2022-05-14,LbOW,-1713.275677,29,DC,6226
2022-05-14,LbOW,-1708.069768,21,DC,6227
2022-05-14,LbOW,-1701.543344,17,DC,6228
2022-05-14,LbOW,-1695.364951,9,DC,6229
2022-05-14,LbOW,-1689.842245,8,DC,6230
2022-05-14,LbOW,-1683.721844,10,DC,6231
2022-05-14,LbOW,-1677.311401,120,DC,6232
2022-05-14,LbOW,-1669.651927,120,DC,6233
2022-05-14,LbOW,-1661.650751,9,DC,6234
2022-05-14,LbOW,-1654.457891,13,DC,6235
2022-05-14,LbOW,-1646.878719,10,DC,6236
2022-05-14,LbOW,-1640.660178,29,DC,6237
2022-05-14,LbOW,-1634.383559,8,DC,6238
2022-05-14,LbOW,-1628.401945,9,DC,6239
2022-05-14,LbOW,-1622.19621,5,DC,6240
2022-05-14,LbOW,-1616.490641,13,DC,6241
2022-05-14,LbOW,-1610.709231,3,DC,6242
2022-05-14,LbOW,-1605.588079,9,DC,6243
2022-05-14,LbOW,-1599.788799,8,DC,6244
2022-05-14,LbOW,-1592.780624,3,DC,6245
2022-05-14,LbOW,-1586.945723,10,DC,6246
2022-05-14,LbOW,-1580.276562,21,DC,6247
2022-05-14,LbOW,-1574.205182,9,DC,6248
2022-05-14,LbOW,-1567.328708,13,DC,6249
2022-05-14,LbOW,-1561.281773,29,DC,6250
2022-05-14,LbOW,-1556.435125,13,DC,6251
2022-05-14,LbOW,-1548.086243,10,DC,6252
2022-05-14,LbOW,-1540.243868,9,DC,6253
2022-05-14,LbOW,-1533.771053,8,DC,6254
2022-05-14,LbOW,-1527.949457,3,DC,6255
2022-05-14,LbOW,-1521.521251,9,DC,6256
2022-05-14,LbOW,-1514.646866,8,DC,6257
2022-05-14,LbOW,-1507.852824,10,DC,6258
2022-05-14,LbOW,-1501.35766,3,DC,6259
2022-05-14,LbOW,-1494.835775,21,DC,6260
2022-05-14,LbOW,-1488.898193,17,DC,6261
2022-05-14,LbOW,-1481.988164,13,DC,6262
2022-05-14,LbOW,-1476.626122,5,DC,6263
2022-05-14,LbOW,-1470.233526,10,DC,6264
