date,ID,time_rel_sunrise,UST,Phase,index
2022-05-13,TbTbLg,-2161.382542,3,DC,9669
2022-05-13,TbTbLg,-2067.4947,3,DC,9670
2022-05-13,TbTbLg,-2046.5837,17,DC,9671
2022-05-13,TbTbLg,-1969.395033,9,DC,9672
2022-05-13,DgTbO,-1935.690524,25,DC,2
2022-05-13,TbTbLg,-1920.4235,9,DC,9673
2022-05-13,DgTbO,-1909.821116,20,DC,3
2022-05-13,TbTbLg,-1906.5827,3,DC,9674
2022-05-13,DgTbO,-1901.665626,1,DC,4
2022-05-13,DgTbO,-1890.747989,153,DC,5
2022-05-13,RRO,-1890.535866,5,DC,8414
2022-05-13,TbTbLg,-1890.4515,NA,DC,9675
2022-05-13,DgTbO,-1880.963099,33,DC,6
2022-05-13,RRO,-1879.440701,8,DC,8416
2022-05-13,DgTbO,-1871.335049,8,DC,7
2022-05-13,RRO,-1869.161225,13,DC,8417
2022-05-13,DgTbO,-1863.035754,33,DC,8
2022-05-13,RRO,-1860.946944,100,DC,8418
2022-05-13,DgTbO,-1854.549128,20,DC,9
2022-05-13,RRO,-1852.698695,29,DC,8419
2022-05-13,TbTbLg,-1852.6307,NA,DC,9676
2022-05-13,DgTbO,-1848.340994,7,DC,10
2022-05-13,DgTbO,-1842.433465,10,DC,11
2022-05-13,RRO,-1842.140411,28,DC,8420
2022-05-13,TbTbLg,-1842.1263,NA,DC,9677
2022-05-13,DgTbO,-1834.879146,153,DC,12
2022-05-13,DgTbO,-1817.217551,33,DC,13
2022-05-13,DgTbO,-1809.510752,33,DC,14
2022-05-13,TbTbLg,-1803.8982,13,DC,9678
2022-05-13,DgTbO,-1803.603223,153,DC,15
2022-05-13,TbTbLg,-1797.1573,13,DC,9679
2022-05-13,DgTbO,-1795.134014,153,DC,16
2022-05-13,YKY,-1788.867951,16,DC,11694
2022-05-13,DgTbO,-1787.582496,1,DC,17
2022-05-13,YKY,-1782.303017,5,DC,11695
2022-05-13,DgTbO,-1777.58569,33,DC,18
2022-05-13,YKY,-1774.896355,13,DC,11696
2022-05-13,DgTbO,-1770.057497,20,DC,19
2022-05-13,TbTbLg,-1766.932,NA,DC,9680
2022-05-13,YKY,-1766.730821,10,DC,11697
2022-05-13,DgTbO,-1761.54473,33,DC,20
2022-05-13,YKY,-1759.462025,165,DC,11698
2022-05-13,DgTbO,-1755.131836,8,DC,21
2022-05-13,YKY,-1753.106381,17,DC,11699
2022-05-13,DgTbO,-1749.032618,153,DC,22
2022-05-13,YKY,-1743.777994,21,DC,11700
2022-05-13,DgTbO,-1739.63982,8,DC,23
2022-05-13,YKY,-1733.883946,166,DC,11701
2022-05-13,DgTbO,-1731.649843,33,DC,24
2022-05-13,YKY,-1728.446123,8,DC,11702
2022-05-13,DgTbO,-1724.940702,10,DC,25
2022-05-13,YKY,-1721.715219,3,DC,11703
2022-05-13,YKY,-1716.189335,13,DC,11704
2022-05-13,DgTbO,-1715.870292,33,DC,26
2022-05-13,DgTbO,-1709.893058,10,DC,27
2022-05-13,YKY,-1709.46694,21,DC,11705
2022-05-13,DgTbO,-1702.504289,11,DC,28
2022-05-13,YKY,-1702.357379,9,DC,11706
2022-05-13,DgTbO,-1695.995551,32,DC,29
2022-05-13,YKY,-1695.728998,21,DC,11707
2022-05-13,YKY,-1690.336309,16,DC,11708
2022-05-13,DgTbO,-1689.887619,153,DC,30
2022-05-13,YKY,-1685.377339,5,DC,11709
2022-05-13,DgTbO,-1683.527005,8,DC,31
2022-05-13,YKY,-1678.722719,13,DC,11710
2022-05-13,DgTbO,-1677.209957,12,DC,32
2022-05-13,DgTbO,-1671.363419,33,DC,33
2022-05-13,YKY,-1669.439649,10,DC,11711
2022-05-13,DgTbO,-1664.941814,7,DC,34
2022-05-13,YKY,-1663.833237,16,DC,11712
2022-05-13,DgTbO,-1660.184423,20,DC,35
2022-05-13,YKY,-1657.883352,5,DC,11713
2022-05-13,DgTbO,-1655.061078,153,DC,36
2022-05-13,YKY,-1649.499371,166,DC,11714
2022-05-13,DgTbO,-1648.038263,1,DC,37
2022-05-13,YKY,-1643.901432,16,DC,11715
2022-05-13,DgTbO,-1642.801649,20,DC,38
2022-05-13,YKY,-1637.137942,13,DC,11716
2022-05-13,DgTbO,-1636.519453,33,DC,39
2022-05-13,DgTbO,-1631.34383,153,DC,40
2022-05-13,YKY,-1630.712821,21,DC,11717
2022-05-13,YKY,-1624.820083,10,DC,11718
2022-05-13,DgTbO,-1624.312301,33,DC,41
2022-05-13,YKY,-1619.057447,165,DC,11719
2022-05-13,DgTbO,-1618.526757,33,DC,42
2022-05-13,YKY,-1614.735748,9,DC,11720
2022-05-13,DgTbO,-1612.340399,153,DC,43
2022-05-13,YKY,-1609.873663,8,DC,11721
2022-05-13,DgTbO,-1605.491847,1,DC,44
2022-05-13,YKY,-1603.752845,3,DC,11722
